"","JLKMOVE","JHSPRBQ","JHSCANB","JHSCNTB","JHSCAND","JHSCNTD","JHSCANF","JLFSATO"
"7960",NA,2,"YES",NA,"YES",NA,1,4
"7961",2,2,"YES",NA,"YES",NA,1,4
"7962",1,2,"YES",NA,"YES",NA,1,6
"7963",1,2,"YES",NA,"YES",NA,1,6
"7964",1,2,"YES",NA,"YES",NA,1,5
"7965",1,2,"YES",NA,"YES",NA,1,6
"7966",2,2,"YES",NA,"YES",NA,1,6
"7967",2,2,"YES",NA,"YES",NA,1,5
"7968",1,2,"YES",NA,"YES",NA,1,6
"7969",2,1,"YES",NA,"YES",NA,1,5
"7970",2,1,"YES",NA,"YES",NA,1,5
"7971",2,2,"NO",1,"YES",NA,1,4
"7972",1,2,"YES",NA,"YES",NA,1,5
"7973",2,2,"YES",NA,"YES",NA,1,4
"7974",1,2,"YES",NA,"YES",NA,1,5
"7975",1,2,"YES",NA,"YES",NA,1,6
"7976",1,2,"YES",NA,"YES",NA,1,5
"7977",1,2,"YES",NA,"YES",NA,1,5
"7978",1,2,"YES",NA,"YES",NA,1,3
"7979",1,2,"YES",NA,"YES",NA,1,5
"7980",1,2,"YES",NA,"YES",NA,1,4
"7981",2,1,"NO",1,"YES",NA,2,6
"7982",2,1,"NO",1,"YES",NA,2,3
"7983",2,2,"NO",1,"NO",1,2,4
"7984",2,2,"NO",1,"NO",1,2,1
"7985",NA,NA,NA,NA,NA,NA,NA,NA
"7986",1,2,"YES",NA,"YES",NA,1,7
"7987",1,2,"YES",NA,"YES",NA,1,6
"7988",2,1,"YES",NA,"YES",NA,1,4
"7989",2,1,"YES",NA,"YES",NA,1,5
"7990",1,2,"YES",NA,"YES",NA,2,NA
"7991",1,2,"YES",NA,"YES",NA,2,1
"7992",NA,2,"NO",2,"YES",NA,1,6
"7993",2,2,"YES",NA,"YES",NA,2,5
"7994",1,2,"YES",NA,"YES",NA,2,5
"7995",2,2,"YES",NA,"YES",NA,1,4
"7996",1,2,"YES",NA,"YES",NA,1,5
"7997",1,2,"YES",NA,"YES",NA,1,6
"7998",NA,2,"YES",NA,"YES",NA,1,7
"7999",2,2,"YES",NA,"YES",NA,1,5
"8000",2,2,"YES",NA,"YES",NA,1,5
"8001",2,2,"NO",1,"NO",2,1,4
"8002",2,2,"YES",NA,"YES",NA,1,4
"8003",1,2,"NO",2,"YES",NA,1,7
"8004",1,2,"NO",2,"YES",NA,1,5
"8005",1,2,"YES",NA,"YES",NA,1,3
"8006",1,2,"YES",NA,"YES",NA,1,6
"8007",2,2,"NO",2,"YES",NA,1,6
"8008",2,2,"NO",2,"YES",NA,1,5
"8009",1,2,"YES",NA,"YES",NA,1,6
"8010",2,2,"YES",NA,"YES",NA,1,5
"8011",1,2,"NO",1,"YES",NA,1,5
"8012",1,2,"NO",1,"YES",NA,1,6
